E1,px1,py1,pz1,E2,px2,py2,pz2,Class
170.7983,42.1861,-8.3456,165.2959,69.6699,-38.6995,12.1065,56.6539,1
51.4596,31.6314,26.1625,-31.0334,121.3158,-24.4524,-31.9706,-114.4442,1
40.7347,-25.8457,-30.8957,6.0642,69.9737,25.4738,21.3682,61.5695,1
44.6366,21.2214,-24.9911,30.2906,47.4184,-22.5149,22.2976,-35.2761,1
49.9964,17.3038,-25.3188,-39.4864,40.3659,-5.4474,24.8575,31.3343,1
39.7048,38.6658,-7.7213,-4.6701,63.9363,-36.409,8.9741,51.7851,1
223.2445,30.3903,36.6287,218.112,79.706,-22.6481,-32.2317,69.2909,1
30.69,3.0924,-22.4747,20.6688,69.5772,-7.7249,19.0182,-66.4802,1
45.2753,-42.5715,-10.6254,-11.1631,48.7783,40.3449,7.1998,26.4533,1
66.6347,41.7028,-51.5374,-6.7044,35.2457,-12.6391,20.6404,25.622,1
78.7923,-50.2808,-49.8186,34.6147,33.3222,32.6613,4.1607,5.1277,1
221.3692,-89.6636,50.7654,195.9276,40.4989,21.425,2.8916,34.2457,1
86.3522,7.1325,45.8922,72.7993,118.5563,-15.4818,-41.2872,110.0513,1
80.551,-26.4053,-36.759,66.6334,34.4511,8.735,33.3212,0.528,1
58.3868,-54.5169,20.2353,5.24,36.516,33.2538,-11.8236,-9.3705,1
95.1591,-27.728,-31.5873,85.3736,23.8092,23.3399,2.1342,-4.1919,1
84.6758,40.6214,-52.4841,52.5862,103.18,-25.2236,-4.1466,99.9634,1
92.1522,59.9835,12.502,68.831,173.577,-44.3054,-8.6161,167.606,1
35.5302,32.2694,-12.1928,8.5095,69.4788,-25.0577,10.7369,-63.9073,1
237.5548,-20.2624,40.736,-233.1572,59.2648,16.9976,-30.9876,-47.5728,1
43.6719,9.4523,39.6031,-15.7953,45.8191,-11.4582,-38.8468,21.4249,1
74.7149,30.8219,3.2404,-67.984,29.6774,-24.0448,10.5544,13.8276,1
120.9827,62.307,7.2497,103.4508,67.2443,-15.5084,-39.8145,51.9239,1
122.2351,35.0494,22.5016,114.9202,31.1082,-26.2209,12.1554,-11.5078,1
81.8117,48.3677,-32.4952,-57.4263,33.2909,-29.7692,8.2304,-12.4233,1
244.2378,-31.0432,-31.7059,-240.1732,206.2635,16.0119,40.0963,-201.6942,1
157.4976,13.8602,-36.2895,152.6318,105.7033,-7.5993,28.6654,101.458,1
90.9083,-23.5631,40.5504,77.8766,187.5367,23.5137,-27.1294,184.0683,1
43.9687,-33.5977,-16.7405,22.8952,53.1606,27.1822,19.5713,-41.2813,1
120.632,-3.3838,-31.864,-116.2984,22.7193,2.0156,22.1836,4.4713,1
106.804,31.2284,39.1343,-94.3418,114.368,-49.0225,-1.1694,-103.3221,1
64.8886,-29.3025,14.4005,-56.076,35.1645,28.2719,-5.9524,20.0453,1
49.994,24.8045,41.7561,11.8562,40.7081,-14.968,-35.9887,11.7442,1
61.3894,46.22,32.5167,-23.9801,35.3985,-7.0308,-20.8419,27.7352,1
139.6958,36.8529,-22.6869,132.8235,115.2277,-34.4438,26.1525,106.804,1
151.1889,-36.5955,-29.9251,143.6083,154.3194,41.1147,17.7478,147.6789,1
42.2824,-21.5239,35.3517,8.6475,52.5896,24.6438,-29.9874,-35.4839,1
50.6618,32.3313,-6.2989,38.4919,40.8029,-30.6798,4.0284,-26.5971,1
151.4675,-22.4854,-26.4224,147.4404,38.8637,26.1007,22.164,18.382,1
97.9227,-9.6005,43.8868,87.0093,72.2562,7.4077,-42.2839,58.1219,1
95.7793,-8.0339,36.2918,88.2725,39.2987,18.4309,-29.6704,18.01,1
166.1393,70.7335,-51.5008,141.2328,58.974,-24.3051,5.7002,53.4294,1
239.9517,-23.0839,-40.981,-235.2966,185.6041,30.5988,32.0187,-180.2426,1
176.2609,-45.5427,26.2724,-168.2365,21.0526,18.492,-10.0526,0.4462,1
93.4451,-15.7289,-18.756,90.1821,25.8773,21.735,2.9965,-13.7202,1
113.4251,16.7348,-49.4768,100.6839,50.3061,-29.7924,25.8125,31.2543,1
75.2025,-17.1294,36.8291,-63.29,38.3632,33.5743,-18.4212,2.2717,1
46.3018,-23.6935,21.2583,33.6238,88.6661,9.9259,-24.663,84.5866,1
98.9778,31.1012,-48.8146,80.2899,47.5121,7.5856,37.0602,28.7472,1
113.3218,37.5072,-6.1235,-106.7592,52.3742,-30.2493,7.1248,-42.1578,1
176.8646,40.8404,-11.4862,171.7009,76.2064,-38.5469,8.723,65.1572,1
58.1034,46.3354,-31.4074,-15.5758,55.5457,-24.548,-17.2936,46.7296,1
69.0937,28.9533,30.3707,-54.8932,32.7511,-30.2174,-2.3708,12.4065,1
53.7901,46.5762,-25.1678,9.5188,40.7515,-30.052,18.5792,-20.3072,1
43.7633,25.1785,21.5163,28.6063,92.196,-10.6097,-27.6355,87.3145,1
30.2415,25.4598,14.9357,6.5782,85.4821,-18.5551,-18.7818,81.3028,1
114.862,-35.0796,-18.5788,107.7847,33.1678,31.9493,-0.2251,-8.9049,1
66.8144,-48.3223,-13.3151,44.1795,34.8245,22.4651,-21.9561,-15.0331,1
106.6071,23.6918,38.5565,-96.5254,165.0151,-19.9309,-34.9471,-160.0358,1
50.2549,14.9185,-37.065,30.4824,24.9115,-19.2132,10.9405,11.4778,1
48.8126,47.8177,-5.6472,-8.015,54.3753,-40.2338,-14.0519,33.7706,1
93.2574,24.0356,29.5588,85.1206,37.6453,18.4351,-32.7247,-2.5323,1
100.0061,12.7291,43.9356,-88.9317,108.5693,-12.5119,-41.2254,-99.6555,1
85.6227,28.5658,-32.0215,74.0936,41.1205,-21.7537,31.3611,15.3022,1
62.628,57.9655,-11.4613,20.7583,35.0925,-32.6038,12.9334,1.0959,1
57.6228,22.6786,10.1909,51.9829,38.4299,-20.3751,-7.8741,-31.6182,1
34.0344,32.7374,-7.4569,-5.5672,56.4777,-31.0783,9.9159,46.1036,1
36.6921,0.0739,-36.5422,3.3127,86.9799,14.6794,32.0106,79.5319,1
117.7629,-50.2973,14.0866,-105.5454,236.7181,6.5186,-48.8315,-231.535,1
42.4275,-39.6793,-3.9432,14.4948,97.1536,34.1505,4.8441,90.8246,1
170.8645,-19.0449,-24.6586,167.9998,22.7394,21.4528,7.3553,1.6604,1
38.6453,-12.0374,17.1442,32.4751,52.2583,12.3896,-16.8045,-47.9065,1
43.0419,37.5269,19.6772,-7.5595,63.9993,-10.7725,-33.3932,53.5234,1
59.0273,-34.6182,47.1769,7.7556,31.5563,15.0643,-27.6976,1.3069,1
62.4479,1.6507,34.5585,-51.9877,36.7496,-20.7817,-17.2892,24.8946,1
38.5259,-38.4827,1.1878,-1.385,65.2956,34.4713,-1.581,-55.4324,1
95.4283,48.591,-3.948,-82.0359,62.3948,-35.74,-32.5317,-39.4646,1
83.4953,45.0669,-43.6177,55.1174,72.6743,-30.8065,-8.9218,65.2144,1
298.435,-38.0649,46.969,-292.2472,154.6958,40.9773,-10.2765,-148.8155,1
87.3933,22.2917,-34.536,77.1228,181.5842,-24.6464,32.8849,176.8727,1
222.5569,-51.8865,-10.1928,216.1839,159.8504,41.8119,17.0828,153.3365,1
147.76,56.0261,102.0471,90.9972,90.8297,27.4271,-0.7147,86.5868,1
111.4353,-40.2801,23.2048,101.2762,91.7595,30.0593,-34.8729,79.3733,1
268.7853,13.344,-56.5526,-262.4296,133.937,-19.1618,33.3628,-128.2922,1
50.1804,23.6315,38.6392,-21.6018,63.3584,-18.9868,-24.464,-55.2747,1
112.6722,42.2375,51.3786,-90.9464,66.7556,-43.53,33.4183,-38.0088,1
80.4025,36.7244,3.7238,71.4284,32.8951,-30.4081,-12.5288,0.6851,1
105.2307,38.6866,13.2256,-96.9636,46.3866,-36.0097,-15.2382,-24.9564,1
69.928,-29.3304,37.14,51.4808,53.0052,27.3605,-37.1663,26.0695,1
119.0756,-44.193,-13.4938,109.7446,62.1596,38.3457,17.0703,45.8478,1
51.0239,-28.0928,8.2899,41.7793,52.0386,-22.6535,17.4888,-43.4624,1
124.102,-26.3882,29.5684,-117.6039,37.2752,14.44,-31.3612,-14.0502,1
243.0892,-30.6874,35.1321,238.5715,167.9555,27.6089,-30.3423,162.8684,1
67.2936,53.6631,34.369,21.6211,93.8241,-8.1148,21.1934,91.0382,1
149.4764,16.056,59.7842,-136.056,171.2805,47.7759,-27.992,-162.083,1
64.8689,37.8488,-20.3793,-48.5811,133.9372,-32.859,13.4747,-129.143,1
58.3456,45.8139,4.6867,35.8236,53.9259,-45.7163,-4.0837,28.3082,1
161.2333,21.8796,-57.2983,149.1119,75.4071,-26.6632,20.639,67.4488,1
68.8611,33.8692,40.516,-44.1948,83.6923,-28.0093,-23.6935,-75.223,1
194.575,-107.7174,36.7685,-157.8114,154.4286,-50.171,101.5877,-104.9333,1
185.2356,23.0244,42.2192,-178.8845,113.5976,-20.9787,-36.5639,-105.4865,1
53.0486,14.5482,-50.9666,2.2154,40.0215,-9.3432,38.8712,-1.8583,1
60.7409,-46.17,-38.6015,-8.2288,62.1492,-50.2471,-21.334,29.7089,1
179.9868,30.8667,99.0534,147.0745,216.0147,-9.3814,-70.0199,204.1361,1
76.1962,-4.0394,54.1195,-53.4848,75.6645,16.6884,-32.0614,-66.4732,1
45.8168,-9.3354,44.5138,-5.5271,83.3398,17.748,-11.5353,-80.6068,1
84.8239,35.6464,29.409,-71.1305,32.3405,-24.8495,-8.8243,-18.7228,1
110.4878,-7.5304,-85.3183,69.7971,43.9321,-24.8927,-25.8534,-25.3375,1
111.5705,-5.5588,51.1684,-98.9892,72.4556,-2.0398,-39.7307,-60.5568,1
167.2059,60.3804,3.368,155.8868,58.758,-47.6163,-17.1242,29.8656,1
36.3197,-11.5032,34.0479,5.2477,72.6043,11.5605,-29.9433,-65.124,1
158.2261,-15.6352,48.7937,149.7004,190.2033,11.7031,-34.8077,186.6246,1
99.0669,12.4873,-38.9299,-90.2373,180.7182,8.6075,35.4836,-176.9912,1
48.3926,46.9863,-3.0613,-11.1694,55.3162,-34.9272,-8.8717,-41.9674,1
58.3703,-31.6576,-14.9304,-46.7115,36.4098,28.7951,3.7625,21.9626,1
50.7681,28.5911,41.4644,-6.3764,43.475,-21.681,-36.7386,8.3836,1
87.8068,31.4243,32.4443,75.2989,45.4825,-19.2807,-39.5631,11.4749,1
71.0181,43.8906,-1.9961,-55.7961,49.7389,-39.1539,1.8595,-30.6182,1
94.3404,-39.313,-3.8353,85.6732,40.3386,38.0838,0.5711,13.2855,1
52.1578,18.656,44.2423,20.3717,41.1774,-17.2735,-27.9553,-24.8134,1
83.9212,38.9923,20.3315,-71.4773,162.6386,-32.0935,-22.0357,-157.9106,1
200.2446,-40.2052,8.8582,-195.9668,145.3896,39.8684,-9.9724,-139.4604,1
175.3178,4.8439,-31.8929,172.3244,37.6786,-9.5849,30.5738,19.8255,1
48.5826,-24.3827,-40.4426,11.4085,50.9384,23.2818,30.8512,33.1796,1
34.0612,5.4491,30.4486,14.2601,70.8782,-11.1518,-26.7793,-64.6701,1
125.1153,36.8346,59.533,-103.6961,68.5525,-18.0228,-41.612,-51.4108,1
60.464,14.748,48.336,33.1966,55.9482,10.6751,-37.568,-40.061,1
42.475,-30.0936,-29.4929,5.3547,37.3536,29.5142,19.9662,11.2051,1
136.8919,-47.827,-6.5207,128.0994,149.3135,36.7982,-9.0915,144.4222,1
133.6245,26.8215,36.8087,125.6233,103.4691,-28.5337,-34.827,93.1599,1
45.1391,-10.0127,-41.5609,-14.4903,100.3648,22.292,24.6703,-94.6971,1
50.5738,48.8556,-8.3021,-10.0953,48.9753,-42.2764,-9.9344,-22.6406,1
52.6968,46.4368,24.9108,-0.1724,41.9827,-36.7507,-19.5062,5.607,1
53.5028,6.5248,-45.4567,27.4529,44.6141,1.0222,44.4483,3.704,1
38.3291,-6.2064,-37.7888,-1.6144,59.5945,5.1994,34.3564,48.416,1
54.9222,-33.9484,-29.8366,31.2046,51.0687,27.1358,26.7392,34.01,1
69.6251,31.9696,46.2813,-41.0323,37.7927,-18.3096,-30.3445,-13.1245,1
123.7767,40.5594,34.3651,111.7794,57.7347,-20.7786,-32.0352,43.3047,1
57.1225,10.4566,-37.5648,41.7436,202.3834,-11.039,35.4207,198.9536,1
106.7179,25.5882,30.367,-99.0546,50.7663,-2.1821,-37.507,-34.1421,1
102.85,24.4012,-23.9802,96.9931,26.2917,-20.0023,16.0185,-5.8796,1
92.0088,-13.237,-52.473,74.4109,64.1895,37.7156,21.8803,47.107,1
202.7703,29.9966,-58.4555,191.8305,96.7233,-14.2376,46.3887,83.6706,1
335.0046,-31.3497,-55.3745,-328.9057,111.5417,-18.4461,43.4689,-101.0532,1
64.6836,-4.7041,32.8938,55.4962,36.3505,18.6178,-23.8975,-20.0909,1
60.5881,-48.9572,17.5406,31.0876,58.3688,30.5236,-29.5698,40.0107,1
53.3328,-40.6224,32.596,11.4763,56.4162,12.0643,-35.9551,41.7668,1
50.3189,-36.912,-26.6241,21.4628,45.689,20.5051,9.9862,-39.5891,1
50.052,-39.3546,30.9037,1.1742,48.4237,22.7138,-30.6607,29.8137,1
163.8473,-32.8486,-4.0649,-160.4693,33.754,32.4866,-2.9865,-8.6624,1
67.6765,65.4066,-16.2464,-6.176,56.175,-4.3209,42.3098,-36.6994,1
52.7109,47.9317,2.1288,-21.828,46.1638,-42.2883,-11.0625,-14.8465,1
123.7339,-22.3517,42.4482,114.0554,102.4392,12.4983,-45.7042,90.8224,1
125.1728,-9.4134,47.2162,115.5432,68.1512,12.4112,-43.2747,51.1649,1
244.8686,48.8431,-1.2302,239.9447,207.68,-38.9992,11.7828,203.6449,1
142.5939,-26.667,38.8744,-134.5759,85.3493,21.0156,-37.3284,-73.8203,1
103.3803,-60.7032,-17.0258,81.9313,69.3937,22.4571,14.5456,64.028,1
58.9827,36.8009,29.9367,35.0492,80.1128,-20.3495,-33.6871,69.7792,1
39.2059,-2.2284,-39.0515,-2.6674,76.5881,-11.2406,22.3847,72.3762,1
67.4852,-44.7624,4.9395,50.2612,79.6835,43.2859,-11.7081,65.8689,1
60.7716,42.1193,7.2565,43.203,36.7692,-35.4254,-2.5011,-9.5267,1
116.7324,-43.5743,84.3489,67.9191,54.5311,32.0315,39.251,20.1739,1
114.1405,39.6277,-22.9576,104.5498,28.4365,-24.9534,13.4339,2.3444,1
64.2164,-63.0933,1.7464,-11.8293,36.7688,32.0019,15.2381,-9.7787,1
38.4184,16.9937,33.7796,-6.7914,94.8048,-19.9013,-28.5016,-88.2017,1
63.8789,37.2745,16.6195,-49.1418,53.1828,-33.6544,-16.0887,-37.9071,1
77.7265,-26.4131,37.762,-62.5922,78.9088,25.874,-34.7383,-65.9575,1
56.6199,44.1835,4.0573,-35.1734,40.6681,-40.5982,1.3233,-1.9806,1
41.9974,36.4632,-20.221,-5.0328,87.5478,-16.8683,25.1531,-82.1425,1
164.7812,29.1209,-35.68,-158.2143,80.8173,-10.6184,40.3163,-69.2335,1
51.2459,44.6828,24.6679,4.5917,40.2377,-32.4402,-23.2711,-5.0156,1
43.3135,-4.4764,41.5431,11.4102,38.4718,8.1207,-36.9608,-6.9305,1
98.7815,-32.4691,53.5548,76.3899,87.7448,-35.5891,-37.6044,70.8413,1
145.4943,-18.6748,-44.2119,137.3505,102.5657,14.6271,40.5221,93.0791,1
151.7702,43.3646,-23.5843,143.5182,94.3776,-30.2191,30.0974,84.1907,1
270.6555,-46.7584,-53.3517,-261.1927,26.8738,-15.0631,17.238,-14.0768,1
49.5247,-42.2879,22.6219,-12.3562,41.9412,26.1501,-30.1587,12.8723,1
39.6502,17.842,-32.8564,13.2009,120.9596,-12.0031,30.1224,116.5324,1
168.1286,-73.4029,6.2622,-151.1292,153.2074,18.3936,31.6217,-148.7759,1
57.4311,-23.3657,-13.8133,50.612,36.2491,15.5484,13.7691,-29.7095,1
46.0004,-31.7033,6.2705,32.7356,38.928,3.432,-24.8475,29.7694,1
51.1158,-16.1841,-33.4099,-35.1379,46.2642,-9.3914,22.4574,39.3426,1
128.6287,-96.0094,-25.6124,81.6795,33.4442,22.2057,-9.2957,23.2166,1
65.3103,-30.1069,-23.8882,52.805,36.3979,25.1426,26.1947,-2.5495,1
168.3739,13.2206,38.8599,-163.2939,34.9982,-20.6608,-14.1334,-24.4592,1
169.1471,-44.249,-19.3914,162.101,194.752,30.648,29.2227,190.0923,1
55.1368,20.5687,36.1475,36.1989,38.2745,-21.328,-28.2442,-14.5711,1
57.4786,-34.0847,36.3298,-28.6734,65.2037,25.1102,-35.5816,-48.5278,1
51.2079,28.8493,-28.5101,31.2592,42.3067,-26.7029,19.4744,-26.4115,1
34.3408,-0.9412,34.0688,4.2098,101.2367,12.9733,-27.5884,96.5373,1
210.5366,45.0511,10.3868,-205.3976,148.3936,-42.812,-14.371,-141.3551,1
41.078,-32.2629,14.8719,-20.6237,69.9559,29.7372,-9.8976,62.5424,1
132.2915,-59.3852,-8.061,-117.9383,81.4716,32.9814,9.8901,-73.8379,1
40.6824,35.543,19.7008,1.9069,49.3675,-39.5797,3.3484,29.3152,1
70.4941,35.371,4.7786,60.7904,25.2563,-19.95,15.3129,2.3226,1
65.1001,29.3752,-13.9517,56.3957,33.1941,-27.2306,1.6901,-18.9073,1
66.7224,3.3453,54.3788,38.518,37.5928,23.2202,-29.4159,-2.9562,1
51.3931,-49.3735,13.5085,4.5863,61.1179,35.2844,14.8873,47.6316,1
86.6655,-1.1447,-33.1634,-80.0612,28.0589,2.6471,27.2679,6.0628,1
52.3824,-1.3533,-44.2388,28.018,43.5518,-18.9668,39.1618,1.8362,1
214.3574,12.8484,-39.3291,-210.3265,40.3929,-20.6284,21.8513,-26.9921,1
93.2392,72.2343,-40.3018,-43.0291,37.5743,-29.4122,-4.6312,-22.9195,1
79.8059,34.6756,61.331,37.4845,32.8682,-28.3767,-14.089,8.7511,1
71.4521,15.4339,-48.845,49.8133,40.0262,-19.92,33.0927,10.4956,1
36.9267,0.9581,-33.5456,-15.4063,63.1158,0.6897,29.0782,56.0141,1
60.0304,44.5318,4.8345,-39.9649,41.3671,-40.7284,-2.1768,-6.9058,1
129.6615,-47.9785,-6.4013,120.288,121.0277,30.0852,-15.3773,116.2159,1
49.6398,22.1481,44.144,-4.9871,47.7026,-23.1969,-33.3565,-24.9957,1
174.5077,-27.9392,51.7421,-164.3019,75.5801,20.1547,-26.4408,-67.875,1
58.4992,-43.0487,23.8684,31.6112,62.6158,44.7378,-7.1565,43.221,1
177.7411,-22.3233,-24.6635,-174.6003,26.718,6.7707,24.5763,-8.001,1
140.6999,0.2976,-25.344,-138.3982,24.3145,-23.0292,7.5774,1.8532,1
60.1951,-29.646,45.4182,-26.1104,37.4613,0.2403,-20.8472,31.1237,1
48.0739,18.4063,-36.2696,-25.6286,111.6,-12.9876,37.7108,-104.2295,1
198.123,-3.1293,39.5661,-194.1068,75.1613,2.9624,-38.1783,-64.675,1
171.3794,-12.7089,46.4943,164.4617,144.0211,7.5947,-42.9424,137.2601,1
69.4884,1.4579,-37.5218,-58.469,172.3621,-2.5604,35.0868,-168.7337,1
31.2328,-23.2834,20.3505,-4.3855,112.9209,19.9504,-21.8474,-108.9761,1
43.3346,-33.0918,-27.803,-3.1314,48.5125,36.0187,23.7656,22.1656,1
146.8028,-21.7446,-47.387,-137.2323,65.3501,10.5686,37.9657,-52.1301,1
131.5746,44.7984,36.2971,118.2687,40.0589,-18.6867,-26.4851,23.5386,1
43.635,-15.6456,35.2194,20.4652,144.838,12.5747,-23.0913,142.4315,1
59.4023,-35.0693,-47.8036,-3.6869,42.8677,-5.036,39.4167,-16.0812,1
59.2206,24.5777,-30.5216,-44.4011,34.379,-25.5775,15.3529,17.0879,1
42.4769,40.7932,-10.0004,-6.3398,61.9305,-35.8015,-18.3623,47.0793,1
73.5743,38.4842,39.2821,48.878,38.6056,-27.8346,-23.5099,12.7637,1
112.6203,24.5914,16.9722,108.5842,29.0279,-19.4623,-21.4389,2.0515,1
157.9325,-32.9218,-21.8859,152.9047,52.6303,33.6252,19.1828,35.6555,1
63.7998,-16.967,35.3947,50.2966,81.2448,24.9073,-30.0128,71.2712,1
96.0344,30.5591,39.6141,-81.9724,40.1312,-35.3163,-6.2939,-17.9905,1
68.9226,-9.6295,49.5588,46.9205,121.1322,18.0685,-28.8264,116.2565,1
83.9557,-42.6743,-7.6374,-71.8967,47.531,40.2629,6.0488,-24.5257,1
49.1343,-11.8839,-47.4461,4.6705,48.3838,17.8962,39.4,21.6415,1
63.0769,2.1441,-33.1867,-53.5979,35.2302,-13.5421,27.7343,16.9878,1
54.1471,28.3585,15.9725,43.2733,37.989,-23.9237,-4.3733,29.1838,1
38.1163,-11.5542,30.6391,19.509,56.9616,9.5566,-29.8029,-47.5929,1
100.6608,1.1771,-38.9989,92.7916,31.0794,7.429,30.1413,1.4975,1
187.8142,11.2301,-50.1768,180.6387,25.3522,-7.4386,20.3555,13.1552,1
47.3216,-39.8541,-20.2341,-15.5425,88.8665,19.3661,16.5457,-85.1378,1
235.155,44.2497,-15.5297,-230.4315,240.2526,-42.8214,12.4793,-236.076,1
63.0632,23.0797,51.3245,-28.4621,53.6124,-34.5924,-22.1942,-34.4248,1
116.7777,-37.3738,21.6401,108.4986,65.8749,41.688,-7.0953,50.5101,1
209.4925,30.7701,-37.819,203.7401,161.0247,-32.6156,32.4494,154.3121,1
29.9986,-20.9912,-19.885,-7.9921,92.3765,16.8769,20.4325,88.4935,1
54.5333,-22.1128,25.7531,-42.6811,48.0635,16.5936,-24.8597,37.6397,1
219.6089,-42.0357,-8.4786,215.3815,70.1115,41.7478,7.6797,55.8012,1
54.871,30.8405,21.6569,39.8832,171.6434,-33.8039,-8.0774,168.0878,1
38.2723,38.0353,3.2246,2.7718,90.5984,-25.7501,-2.458,86.8272,1
71.6401,-61.545,15.8518,33.064,37.1675,30.8492,8.0655,19.0971,1
49.9902,31.3868,-38.8156,2.6889,44.264,-30.8177,20.4009,-24.3593,1
80.6606,32.3471,-20.417,-71.0137,96.1461,-6.754,20.349,-93.725,1
97.8132,-32.9783,26.4228,-88.2139,28.8442,22.2991,13.5517,12.2917,1
39.7881,28.1628,27.9639,-2.8225,61.4495,-30.8151,-23.4253,47.7255,1
44.461,33.492,-25.38,14.5234,91.1035,-16.2538,28.2455,85.0756,1
267.2532,-50.8859,-6.6648,-262.2794,164.6898,38.6794,-21.7633,-158.597,1
225.7373,12.9936,43.428,221.1391,95.6848,-6.2873,-39.3197,87.0058,1
210.8156,-8.1553,-43.4221,-206.134,95.1619,1.8138,37.8874,-87.2757,1
91.2904,30.4579,-36.4875,77.9417,125.5725,-43.3012,8.7957,117.5419,1
88.6216,35.4579,-26.1787,-76.8843,44.6243,-25.9937,31.227,-18.4534,1
121.7576,4.7479,77.3923,93.8765,49.3361,-5.053,-21.9426,43.898,1
44.855,-43.7363,8.2517,-5.5689,63.1462,31.0121,-0.3058,55.0054,1
185.1989,-46.3183,-15.5166,178.6407,118.043,35.9371,15.4283,111.3762,1
42.4246,-18.222,-37.7457,6.5627,52.8169,27.4959,31.3603,-32.4057,1
59.6534,42.973,-6.4051,-40.8756,53.7953,-39.9441,7.674,35.2067,1
182.6949,-29.5576,-55.1355,171.6503,95.9757,31.9816,19.0451,88.4635,1
64.476,46.6642,13.5888,42.3668,36.2262,-35.3258,-1.4537,7.8938,1
182.7934,-39.9541,10.5466,178.0614,90.9013,39.0613,-8.5331,81.636,1
36.2298,-9.033,-22.0297,-27.3074,55.5555,10.1695,21.0502,50.3972,1
212.4936,37.8404,19.4029,-208.195,42.7243,-12.5253,-38.2971,-14.2063,1
103.4228,-66.3043,-22.3989,76.1465,41.8289,31.8393,-10.4955,25.0151,1
124.9058,30.0242,-3.5031,121.1929,31.0544,-29.947,3.8463,7.2636,1
83.8109,-39.6928,19.326,-71.2408,138.7216,37.2927,-15.8869,-132.667,1
34.5521,-3.8995,34.2928,-1.6272,89.2214,4.9627,-32.1611,-83.0752,1
50.5706,20.1483,-46.3135,-2.548,53.8326,-9.836,29.1869,-44.1512,1
119.3715,-21.5926,-42.0522,-109.6127,40.5164,7.3118,33.8136,-21.0893,1
82.0027,-43.0567,12.4957,68.6616,26.4118,21.3701,-6.7337,-13.9841,1
31.3376,-28.315,-3.292,-13.0179,90.1941,22.777,9.1485,86.7899,1
80.5963,34.6284,48.8956,53.906,29.5141,-15.2926,-24.7071,-5.1749,1
145.18,-0.2744,-41.8962,-139.0031,60.4121,2.4337,40.2588,-44.9769,1
131.9272,-18.8735,-19.5161,129.1035,22.8635,14.1998,16.4135,-7.1903,1
39.7016,-39.5913,-2.3349,1.8155,75.4174,33.8138,2.272,67.374,1
203.0813,-44.6179,12.0183,197.7545,108.6049,42.5,-6.7336,99.7167,1
53.2428,44.5046,-15.5118,-24.7693,52.5692,-41.7837,7.8632,-30.9162,1
57.988,41.3684,-9.0094,39.6244,39.8494,-16.5792,18.7203,-31.0267,1
79.284,47.0268,-15.2628,-61.9797,46.6834,-30.514,25.5546,-24.3967,1
113.0498,3.8938,-44.6282,-103.7951,46.4765,0.6134,41.4706,-20.9732,1
59.8194,-40.9836,-33.6621,27.669,40.0225,23.2938,30.56,11.1929,1
187.7121,-34.2653,9.8162,-184.2969,46.5278,34.428,-4.2796,-31.0037,1
59.3196,-5.8492,53.9866,23.8755,66.528,4.361,-29.8011,59.3199,1
196.4005,-72.2384,-10.6225,182.3237,162.3315,-12.2275,58.6384,150.8759,1
46.6394,39.785,-23.5685,6.0759,44.9788,-39.6575,21.1509,-1.7371,1
